===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2019-03-13 15:36:20
count workspace : /Users/fabioespinosa/Desktop/runregistry
total files : 208
total code lines : 50778
total comment lines : 6225
total blank lines : 5753

.babelrc, code is 3, comment is 0, blank is 0.
.gitignore, code is 3, comment is 0, blank is 0.
.next/build-manifest.json, code is 18, comment is 0, blank is 5.
.next/react-loadable-manifest.json, code is 154, comment is 0, blank is 0.
.next/server/0.js, code is 25, comment is 4, blank is 6.
.next/server/0.js.map, code is 1, comment is 0, blank is 0.
.next/server/pages-manifest.json, code is 1, comment is 0, blank is 0.
.next/server/ssr-module-cache.js, code is 1, comment is 1, blank is 1.
.next/server/static/development/pages/_app.js, code is 73, comment is 95, blank is 6.
.next/server/static/development/pages/_app.js.map, code is 1, comment is 0, blank is 0.
.next/server/static/development/pages/_document.js, code is 73, comment is 95, blank is 6.
.next/server/static/development/pages/_document.js.map, code is 1, comment is 0, blank is 0.
.next/server/static/development/pages/_error.js, code is 73, comment is 95, blank is 6.
.next/server/static/development/pages/_error.js.map, code is 1, comment is 0, blank is 0.
.next/server/static/development/pages/offline.js, code is 713, comment is 51, blank is 72.
.next/server/static/development/pages/offline.js.map, code is 1, comment is 0, blank is 0.
.next/server/static/development/pages/online.js, code is 1070, comment is 60, blank is 82.
.next/server/static/development/pages/online.js.map, code is 1, comment is 0, blank is 0.
.next/static/chunks/0.js, code is 2, comment is 1, blank is 1.
.next/static/chunks/0.js.map, code is 1, comment is 0, blank is 0.
.next/static/chunks/1.js, code is 4396, comment is 553, blank is 720.
.next/static/chunks/1.js.map, code is 1, comment is 0, blank is 0.
.next/static/development/dll/dll_97b3f31055546f578568.js, code is 114, comment is 151, blank is 50.
.next/static/development/pages/_app.js, code is 4117, comment is 492, blank is 633.
.next/static/development/pages/_app.js.map, code is 1, comment is 0, blank is 0.
.next/static/development/pages/_error.js, code is 220, comment is 25, blank is 20.
.next/static/development/pages/_error.js.map, code is 1, comment is 0, blank is 0.
.next/static/development/pages/offline.js, code is 7464, comment is 1289, blank is 991.
.next/static/development/pages/offline.js.map, code is 1, comment is 0, blank is 0.
.next/static/development/pages/online.js, code is 7821, comment is 1298, blank is 1001.
.next/static/development/pages/online.js.map, code is 1, comment is 0, blank is 0.
.next/static/runtime/main.js, code is 4527, comment is 1503, blank is 906.
.next/static/runtime/main.js.map, code is 1, comment is 0, blank is 0.
.next/static/runtime/webpack.js, code is 116, comment is 146, blank is 20.
.next/static/runtime/webpack.js.map, code is 1, comment is 0, blank is 0.
.next/static/webpack/048909a7d24dc508b593.hot-update.json, code is 1, comment is 0, blank is 0.
.next/static/webpack/0b4cb2928161eff0cc8e.hot-update.json, code is 1, comment is 0, blank is 0.
.next/static/webpack/12a8b02110e394b2b3bf.hot-update.json, code is 1, comment is 0, blank is 0.
.next/static/webpack/25f9dae325ec331d265d.hot-update.json, code is 1, comment is 0, blank is 0.
.next/static/webpack/2a9284f357393f988f95.hot-update.json, code is 1, comment is 0, blank is 0.
.next/static/webpack/4e86215641fe7786ff00.hot-update.json, code is 1, comment is 0, blank is 0.
.next/static/webpack/51f2b2a4f9ba7a94088a.hot-update.json, code is 1, comment is 0, blank is 0.
.next/static/webpack/68f4a980e81d12a9dbba.hot-update.json, code is 1, comment is 0, blank is 0.
.next/static/webpack/89022374f71cd173c33c.hot-update.json, code is 1, comment is 0, blank is 0.
.next/static/webpack/97d702bdf2643f4c0f27.hot-update.json, code is 1, comment is 0, blank is 0.
.next/static/webpack/ac9980b4b6a70b7daac7.hot-update.json, code is 1, comment is 0, blank is 0.
.next/static/webpack/c257a3ae68b05bfa079c.hot-update.json, code is 1, comment is 0, blank is 0.
.next/static/webpack/d28509db8b37dd8ae1bd.hot-update.json, code is 1, comment is 0, blank is 0.
.next/static/webpack/d5e06e0ef9eba90a8f79.hot-update.json, code is 1, comment is 0, blank is 0.
.next/static/webpack/df0a59d4e760886cdcfe.hot-update.json, code is 1, comment is 0, blank is 0.
.next/static/webpack/df4537ead34d7657ecc1.hot-update.json, code is 1, comment is 0, blank is 0.
.next/static/webpack/ebab5e3cb4f177dd77d0.hot-update.json, code is 1, comment is 0, blank is 0.
.next/static/webpack/f7fbe65bd8a74bc3fb47.hot-update.json, code is 1, comment is 0, blank is 0.
.next/static/webpack/f87e359649b8b0bb00e8.hot-update.json, code is 1, comment is 0, blank is 0.
.next/static/webpack/fc6a76a5af016bc1df30.hot-update.json, code is 1, comment is 0, blank is 0.
.next/static/webpack/static/development/pages/offline.js.048909a7d24dc508b593.hot-update.js, code is 2, comment is 1, blank is 1.
.next/static/webpack/static/development/pages/offline.js.048909a7d24dc508b593.hot-update.js.map, code is 1, comment is 0, blank is 0.
.next/static/webpack/static/development/pages/offline.js.0b4cb2928161eff0cc8e.hot-update.js, code is 26, comment is 5, blank is 6.
.next/static/webpack/static/development/pages/offline.js.0b4cb2928161eff0cc8e.hot-update.js.map, code is 1, comment is 0, blank is 0.
.next/static/webpack/static/development/pages/offline.js.25f9dae325ec331d265d.hot-update.js, code is 2, comment is 1, blank is 1.
.next/static/webpack/static/development/pages/offline.js.25f9dae325ec331d265d.hot-update.js.map, code is 1, comment is 0, blank is 0.
.next/static/webpack/static/development/pages/offline.js.89022374f71cd173c33c.hot-update.js, code is 2, comment is 1, blank is 1.
.next/static/webpack/static/development/pages/offline.js.89022374f71cd173c33c.hot-update.js.map, code is 1, comment is 0, blank is 0.
.next/static/webpack/static/development/pages/offline.js.ac9980b4b6a70b7daac7.hot-update.js, code is 26, comment is 5, blank is 6.
.next/static/webpack/static/development/pages/offline.js.ac9980b4b6a70b7daac7.hot-update.js.map, code is 1, comment is 0, blank is 0.
.next/static/webpack/static/development/pages/offline.js.c257a3ae68b05bfa079c.hot-update.js, code is 26, comment is 5, blank is 6.
.next/static/webpack/static/development/pages/offline.js.c257a3ae68b05bfa079c.hot-update.js.map, code is 1, comment is 0, blank is 0.
.next/static/webpack/static/development/pages/offline.js.d28509db8b37dd8ae1bd.hot-update.js, code is 26, comment is 5, blank is 6.
.next/static/webpack/static/development/pages/offline.js.d28509db8b37dd8ae1bd.hot-update.js.map, code is 1, comment is 0, blank is 0.
.next/static/webpack/static/development/pages/offline.js.d5e06e0ef9eba90a8f79.hot-update.js, code is 26, comment is 5, blank is 6.
.next/static/webpack/static/development/pages/offline.js.d5e06e0ef9eba90a8f79.hot-update.js.map, code is 1, comment is 0, blank is 0.
.next/static/webpack/static/development/pages/offline.js.df0a59d4e760886cdcfe.hot-update.js, code is 26, comment is 5, blank is 6.
.next/static/webpack/static/development/pages/offline.js.df0a59d4e760886cdcfe.hot-update.js.map, code is 1, comment is 0, blank is 0.
.next/static/webpack/static/development/pages/offline.js.f87e359649b8b0bb00e8.hot-update.js, code is 26, comment is 5, blank is 6.
.next/static/webpack/static/development/pages/offline.js.f87e359649b8b0bb00e8.hot-update.js.map, code is 1, comment is 0, blank is 0.
.next/static/webpack/static/development/pages/online.js.0b4cb2928161eff0cc8e.hot-update.js, code is 26, comment is 5, blank is 6.
.next/static/webpack/static/development/pages/online.js.0b4cb2928161eff0cc8e.hot-update.js.map, code is 1, comment is 0, blank is 0.
